1.000000000000000000e+00,1.000000000000000000e+00,4.936256258687993781e-01
1.000000000000000000e+00,3.000000000000000000e+00,6.213012954234680141e-01
1.000000000000000000e+00,2.000000000000000000e+00,7.259584961655173307e-01
1.000000000000000000e+00,4.000000000000000000e+00,1.329414582655750743e-01
2.000000000000000000e+00,1.000000000000000000e+00,4.828225422312041326e-01
2.000000000000000000e+00,3.000000000000000000e+00,7.526721588519705852e-01
2.000000000000000000e+00,2.000000000000000000e+00,4.985340059546248814e-01
2.000000000000000000e+00,4.000000000000000000e+00,2.486257739224964625e-01
3.000000000000000000e+00,1.000000000000000000e+00,3.722384986105654048e-01
3.000000000000000000e+00,4.000000000000000000e+00,3.442199277219923914e-01
3.000000000000000000e+00,3.000000000000000000e+00,8.582983402535883100e-01
3.000000000000000000e+00,2.000000000000000000e+00,3.066296371077925076e-01
4.000000000000000000e+00,1.000000000000000000e+00,4.132695419130029135e-01
4.000000000000000000e+00,3.000000000000000000e+00,9.373282160750977532e-01
4.000000000000000000e+00,4.000000000000000000e+00,4.262885881768991303e-01
4.000000000000000000e+00,2.000000000000000000e+00,1.424340475379299309e-01
5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,4.281638418650755007e-01
5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,5.106139435191913156e-01
